All|All
Segmental|Segmental spinal muscular atrophy
Marked|Marked muscular hypertrophy
Hypoplasia|Hypoplasia of deltoid muscle
Deltoid|Deltoid muscle hypoplasia
Exercise-induced|Exercise-induced rhabdomyolysis
Rhabdomyolysis|Rhabdomyolysis with exercise
Difficulty|Difficulty running
Peroneal|Peroneal muscle atrophy
Peroneal|Peroneal atrophy
Quadriceps|Quadriceps muscle atrophy
Increased|Increased muscle glycogen content
Distal|Distal lower limb muscle weakness
Distal|Distal muscle weakness in lower limbs
Muscle|Muscle weakness, lower limb, distal 
Scapuloperoneal|Scapuloperoneal myopathy
Generalized|Generalized limb muscle atrophy
Generalized|Generalized muscle atrophy, proximal and distal
Loss|Loss of subcutaneous adipose tissue from upper limbs
Increased|Increased muscle lipid content
Fat|Fat accumulation in muscle fibers
Fat|Fat deposits in muscle fibers
Lipid|Lipid accumulation in skeletal muscle
Muscle|Muscle lipidosis
Skeletal|Skeletal muscle lipid accumulation
Congenital|Congenital generalized lipodystrophy
Scapular|Scapular muscle atrophy
Infantile|Infantile axial hypotonia
Hypotonia,|Hypotonia, axial, in infancy
Progressive|Progressive distal muscle weakness
Muscle|Muscle weakness, distal, progressive
Muscle|Muscle weakness, progressive, distal
Generalized|Generalized lipodystrophy
Lipodystrophy,|Lipodystrophy, generalized
Progressive|Progressive spinal muscular atrophy
Lethal|Lethal infantile mitochondrial myopathy
Inflammatory|Inflammatory myopathy
Decreased|Decreased Achilles reflex
Hyporeflexia|Hyporeflexia at ankle joints
Progressive|Progressive proximal muscle weakness
Muscle|Muscle weakness, progressive, proximal
Ragged-red|Ragged-red fibers with decreased COX activity
Weakness|Weakness of long finger extensor muscles
Narrow,|Narrow, high-arched palate
Narrow|Narrow and high arched palate
Narrow,|Narrow, highly arched palate
Midline|Midline notch of upper alveolar ridge
Alveolar|Alveolar ridge overgrowth
Thick|Thick alveolar ridges
Thickened|Thickened alveolar ridges
Posteriorly|Posteriorly placed tongue
Speech|Speech articulation difficulties
Facial|Facial diplegic appearance
Progressive|Progressive alveolar ridge hypertropy
Cleft|Cleft lower alveolar ridge
Chronic|Chronic oral candidiasis
Median|Median cleft palate
Thick|Thick anterior alveolar ridges
Submucous|Submucous cleft lip
Anterior|Anterior open-bite malocclusion
Aplasia/Hypoplasia|Aplasia/Hypoplasia involving the pelvis
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the pubic bone
Hypoplastic/aplastic|Hypoplastic/aplastic pubic bones
Abnormal|Abnormal ossification of the pubic bone
Abnormal|Abnormal pelvis bone ossification
Abnormal|Abnormal ossification involving the bones of the pelvis
Abnormal|Abnormal ossification involving the femoral head and neck
Aplasia/Hypoplasia|Aplasia/Hypoplasia involving the femoral head and neck
Denervation|Denervation of the diaphragm
Diaphragmatic|Diaphragmatic eventration
Absent|Absent left hemidiaphragm
Diaphragmatic|Diaphragmatic weakness
Diaphragmatic|Diaphragmatic paraparesis
Aplasia/Hypoplasia|Aplasia/Hypoplasia involving the skeleton
Aplasia/Hypoplasia|Aplasia/Hypoplasia involving bones of the skull
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the maxilla
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the mandible
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the frontal sinuses
Aplasia/Hypoplasia|Aplasia/Hypoplasia involving the sinuses
Abnormal|Abnormal axial skeleton morphology
Aplasia/Hypoplasia|Aplasia/Hypoplasia affecting bones of the axial skeleton
Mixed|Mixed hypo- and hyperpigmentation of the skin
Abnormality|Abnormality of adipose tissue
Abnormality|Abnormality of fatty tissue
Lipodystrophy|Lipodystrophy
Increased|Increased adipose tissue
Abnormality|Abnormality of the musculature of the limbs
Aplasia/Hypoplasia|Aplasia/Hypoplasia involving the musculature of the extremities
Upper|Upper limb amyotrophy
Amyotrophy|Amyotrophy involving the upper limbs
Hand|Hand muscle atrophy
Amyotrophy|Amyotrophy involving the musculature of the hand
Amyotrophy|Amyotrophy of hand muscles
Hand|Hand muscle wasting
Hand|Hand muscle wasting, bilateral
Abnormality|Abnormality of the musculature of the thorax
Abnormal|Abnormal tarsal bone mineral density
Abnormality|Abnormality of bone mineral density involving tarsal bones
Osteolysis|Osteolysis involving bones of the feet
Duplication|Duplication involving bones of the feet
Synostosis|Synostosis involving bones of the lower limbs
Osteolysis|Osteolysis involving bones of the lower limbs
Synostosis|Synostosis involving bones of the feet
Depletion|Depletion of mitochondrial DNA in muscle tissue
Depletion|Depletion of mitochondrial dna in skeletal muscle tissue
Duplication|Duplication of bones involving the upper extremities
Supernumerary|Supernumerary bones of the axial skeleton
Abnormalities|Abnormalities of the cerebral arteries
Nasal,|Nasal, high-pitched voice
Enlarged|Enlarged epiphysis of the distal phalanx of the 5th finger
Small|Small epiphysis of the distal phalanx of the 5th finger
Triangular|Triangular epiphysis of the distal phalanx of the 5th finger
Delta-shaped|Delta-shaped epiphysis of the distal phalanx of the 5th finger
Abnormality|Abnormality of the proximal phalanx of the 5th finger
Abnormality|Abnormality of the epiphyses of the 5th finger
Abnormality|Abnormality of the epiphysis of the proximal phalanx of the 5th finger
Triangular|Triangular epiphysis of the proximal phalanx of the 5th finger
Delta-shaped|Delta-shaped epiphysis of the proximal phalanx of the 5th finger
Cone-shaped|Cone-shaped epiphysis of the proximal phalanx of the 5th finger
Ivory|Ivory epiphysis of the proximal phalanx of the 5th finger
Enlarged|Enlarged epiphysis of the proximal phalanx of the 5th finger
Small|Small epiphysis of the proximal phalanx of the 5th finger
Absent|Absent epiphysis of the proximal phalanx of the 5th finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the middle phalanx of the 5th finger
Absent/hypoplastic|Absent/hypoplastic middle phalanx of 5th finger
Absent|Absent middle phalanx of 5th finger
Aplasia|Aplasia of the middle phalanx of the 5th finger
Abnormal|Abnormal form of the 5th finger
Abnormal|Abnormal calcification of the carpal bones
Carpal|Carpal calcifications
Stippling|Stippling of the epiphysis of the distal phalanx of the 5th finger
Fragmentation|Fragmentation of the epiphysis of the distal phalanx of the 5th finger
Irregular|Irregular epiphysis of the distal phalanx of the 5th finger
Bullet-shaped|Bullet-shaped middle phalanx of the 5th finger
Broad|Broad middle phalanx of the 5th finger
Wide|Wide middle phalanx of the 5th finger
Osteolytic|Osteolytic defects of the middle phalanx of the 5th finger
Triangular|Triangular epiphyses of the metacarpals
Abnormality|Abnormality of the phalanges of the 4th finger
Abnormality|Abnormality of the phalanges of the ring finger
Curved|Curved middle phalanx of the 5th finger
Abnormality|Abnormality of the epiphyses of the 4th finger
Patchy|Patchy sclerosis of the middle phalanx of the 5th finger
Proximal/middle|Proximal/middle symphalangism of 5th finger
Fifth|Fifth finger symphalangism
Proximal|Proximal 5th finger symphalangism
Proximal|Proximal fifth finger symphalangism
Symphalangism|Symphalangism of the proximal and middle phalanges of the 5th finger
Symphalangism|Symphalangism of middle phalanx of 5th finger
Deviation|Deviation of the 5th finger
Laterally|Laterally displaced fifth finger
Ulnar|Ulnar deviation of the 5th finger
Triangular|Triangular shaped middle phalanx of the 5th finger
Joint|Joint contractures of the 5th finger
Fifth|Fifth finger camptodactyly
Contracture|Contracture of the distal interphalangeal joint of the 5th finger
Contracture|Contracture of the proximal interphalangeal joint of the 5th finger
Contracture|Contracture of the metacarpophalangeal joint of the 5th finger
Bracket|Bracket epiphysis of the distal phalanx of the 5th finger
Pseudoepiphysis|Pseudoepiphysis of the distal phalanx of the 5th finger
Fragmentation|Fragmentation of the metacarpal epiphyses
Irregular|Irregular epiphyses of the metacarpals
Ivory|Ivory epiphyses of the metacarpals
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the proximal phalanx of the 5th finger
Pseudoepiphyses|Pseudoepiphyses of the metacarpals
Accessory|Accessory proximal metacarpal ossification centers
Metacarpal|Metacarpal pseudoepiphyses
Small|Small epiphyses of the metacarpals
Epiphyseal|Epiphyseal stippling of the metacarpals
Stippling|Stippling of the epiphyses of the metacarpals
Absent|Absent metacarpal epiphyses
Absent|Absent metacarpal ossification center
Bracket|Bracket epiphysis of the proximal phalanx of the 5th finger
Abnormality|Abnormality of the epiphysis of the distal phalanx of the 5th finger
Abnormality|Abnormality of the epiphysis of the terminal phalanx of the little finger
Irregular|Irregular epiphysis of the proximal phalanx of the 5th finger
Pseudoepiphysis|Pseudoepiphysis of the proximal phalanx of the 5th finger
Stippling|Stippling of the epiphysis of the proximal phalanx of the 5th finger
Fragmentation|Fragmentation of the epiphysis of the proximal phalanx of the 5th finger
Absent|Absent epiphysis of the middle phalanx of the 5th finger
Bracket|Bracket epiphysis of the middle phalanx of the 5th finger
Cone-shaped|Cone-shaped epiphysis of the middle phalanx of the 5th finger
Enlarged|Enlarged epiphysis of the middle phalanx of the 5th finger
Fragmentation|Fragmentation of the epiphysis of the middle phalanx of the 5th finger
Irregular|Irregular epiphysis of the middle phalanx of the 5th finger
Ivory|Ivory epiphysis of the middle phalanx of the 5th finger
Pseudoepiphysis|Pseudoepiphysis of the middle phalanx of the 5th finger
Small|Small epiphysis of the middle phalanx of the 5th finger
Stippling|Stippling of the epiphysis of the middle phalanx of the 5th finger
Triangular|Triangular epiphysis of the middle phalanx of the 5th finger
Delta-shaped|Delta-shaped epiphysis of the middle phalanx of the 5th finger
Absent|Absent epiphysis of the middle phalanx of the 4th finger
Bracket|Bracket epiphysis of the middle phalanx of the 4th finger
Cone-shaped|Cone-shaped epiphysis of the middle phalanx of the 4th finger
Enlarged|Enlarged epiphysis of the middle phalanx of the 4th finger
Fragmentation|Fragmentation of the epiphysis of the middle phalanx of the 4th finger
Irregular|Irregular epiphysis of the middle phalanx of the 4th finger
Ivory|Ivory epiphysis of the middle phalanx of the 4th finger
Pseudoepiphysis|Pseudoepiphysis of the middle phalanx of the 4th finger
Small|Small epiphysis of the middle phalanx of the 4th finger
Stippling|Stippling of the epiphysis of the middle phalanx of the 4th finger
Triangular|Triangular epiphysis of the middle phalanx of the 4th finger
Delta-shaped|Delta-shaped epiphysis of the middle phalanx of the 4th finger
Aplasia|Aplasia of the proximal phalanx of the 5th finger
Short|Short proximal phalanx of the 5th finger
Hypoplastic/small|Hypoplastic/small proximal phalanx of the 5th finger
Short|Short proximal phalanx of the fifth finger
Broad|Broad proximal phalanx of the 5th finger
Wide|Wide proximal phalanx of the 5th finger
Bullet-shaped|Bullet-shaped proximal phalanx of the 5th finger
Curved|Curved proximal phalanx of the 5th finger
Osteolytic|Osteolytic defects of the proximal phalanx of the 5th finger
Patchy|Patchy sclerosis of the proximal phalanx of the 5th finger
Symphalangism|Symphalangism affecting the proximal phalanx of the 5th finger
Triangular|Triangular shaped proximal phalanx of the 5th finger
Symphalangism|Symphalangism of the proximal phalanx of the 5th finger with the 5th metatcarpal
Rhomboid|Rhomboid or triangular shaped 5th finger proximal phalanx
Short|Short 5th finger
Fifth|Fifth finger brachydactyly
Hypoplastic|Hypoplastic phalanges of the little finger
Hypoplastic/small|Hypoplastic/small 5th finger
Hypoplastic/small|Hypoplastic/small little finger
Short|Short fifth finger
Short|Short fifth fingers
Short|Short fifth fingers,
Short|Short little finger
Short|Short phalanges of the little finger
Aplasia|Aplasia of the 5th finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the distal phalanx of the 5th finger
Broad|Broad distal phalanx of the 5th finger
Bullet-shaped|Bullet-shaped distal phalanx of the 5th finger
Osteolytic|Osteolytic defects of the distal phalanx of the 5th finger
Patchy|Patchy sclerosis of the distal phalanx of the 5th finger
Distal/middle|Distal/middle symphalangism of 5th finger
Fifth|Fifth finger distal interphalangeal joint symphalangism
Symphalangism|Symphalangism of the distal and middle phalanges of the 5th finger
Symphalangism|Symphalangism of the terminal and middle phalanges of the 5th finger
Triangular|Triangular shaped distal phalanx of the 5th finger
Aplasia|Aplasia of the distal phalanx of the 5th finger
Abnormality|Abnormality of the epiphysis of the middle phalanx of the 4th finger
Abnormality|Abnormality of the epiphysis of the proximal phalanx of the 4th finger
Abnormality|Abnormality of the epiphysis of the distal phalanx of the 4th finger
Absent|Absent epiphysis of the distal phalanx of the 4th finger
Bracket|Bracket epiphysis of the distal phalanx of the 4th finger
Cone-shaped|Cone-shaped epiphysis of the distal phalanx of the 4th finger
Enlarged|Enlarged epiphysis of the distal phalanx of the 4th finger
Fragmentation|Fragmentation of the epiphysis of the distal phalanx of the 4th finger
Irregular|Irregular epiphysis of the distal phalanx of the 4th finger
Ivory|Ivory epiphysis of the distal phalanx of the 4th finger
Pseudoepiphysis|Pseudoepiphysis of the distal phalanx of the 4th finger
Small|Small epiphysis of the distal phalanx of the 4th finger
Stippling|Stippling of the epiphysis of the distal phalanx of the 4th finger
Triangular|Triangular epiphysis of the distal phalanx of the 4th finger
Delta-shaped|Delta-shaped epiphysis of the distal phalanx of the 4th finger
Absent|Absent epiphysis of the proximal phalanx of the 4th finger
Bracket|Bracket epiphysis of the proximal phalanx of the 4th finger
Bracket|Bracket proximal epiphysis of the ring finger
Cone-shaped|Cone-shaped epiphysis of the proximal phalanx of the 4th finger
Enlarged|Enlarged epiphysis of the proximal phalanx of the 4th finger
Fragmentation|Fragmentation of the epiphysis of the proximal phalanx of the 4th finger
Irregular|Irregular epiphysis of the proximal phalanx of the 4th finger
Ivory|Ivory epiphysis of the proximal phalanx of the 4th finger
Pseudoepiphysis|Pseudoepiphysis of the proximal phalanx of the 4th finger
Small|Small epiphysis of the proximal phalanx of the 4th finger
Stippling|Stippling of the epiphysis of the proximal phalanx of the 4th finger
Triangular|Triangular epiphysis of the proximal phalanx of the 4th finger
Delta-shaped|Delta-shaped epiphysis of the proximal phalanx of the 4th finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the 4th finger
Deviation|Deviation of the 4th finger
Joint|Joint contractures of the 4th finger
Camptodactyly|Camptodactyly of the 4th finger
Camptodactyly|Camptodactyly of the ring finger
Contracture|Contracture of the distal interphalangeal joint of the 4th finger
Contracture|Contracture of the proximal interphalangeal joint of the 4th finger
Contracture|Contracture of the metacarpophalangeal joint of the 4th finger
Ulnar|Ulnar deviation of the 4th finger
Radial|Radial deviation of the 4th finger
Short|Short 4th finger
Hypoplastic/small|Hypoplastic/small 4th finger
Short|Short ring finger
Aplasia|Aplasia of the 4th finger
Abnormality|Abnormality of the distal phalanx of the 4th finger
Abnormality|Abnormality of the middle phalanx of the 4th finger
Abnormality|Abnormality of the middle phalanx of the ring finger
Abnormality|Abnormality of the proximal phalanx of the 4th finger
Abnormality|Abnormality of the proximal phalanx of the ring finger
Curved|Curved phalanges of the 4th finger
Curved|Curved distal phalanx of the 4th finger
Curved|Curved middle phalanx of the 4th finger
Curved|Curved proximal phalanx of the 4th finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the distal phalanx of the 4th finger
Short|Short distal phalanx of the 4th finger
Hypoplastic/small|Hypoplastic/small distal phalanx of the 4th finger
Short|Short distal phalanx of the fourth finger
Aplasia|Aplasia of the distal phalanx of the 4th finger
Broad|Broad distal phalanx of the 4th finger
Broad|Broad middle phalanx of the 4th finger
Absent|Absent middle phalanx of 4th finger
Aplasia|Aplasia of the middle phalanx of the 4th finger
Short|Short middle phalanx of the 4th finger
Hypoplastic/small|Hypoplastic/small middle phalanx of ring finger
Hypoplastic/small|Hypoplastic/small middle phalanx of the 4th finger
Short|Short middle phalanx of ring finger
Bullet-shaped|Bullet-shaped middle phalanx of the 4th finger
Osteolytic|Osteolytic defects of the middle phalanx of the 4th finger
Aplasia|Aplasia of the proximal phalanx of the 4th finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the middle phalanx of the 4th finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the proximal phalanx of the 4th finger
Short|Short proximal phalanx of the 4th finger
Hypoplastic/small|Hypoplastic/small proximal phalanx of the 4th finger
Short|Short proximal phalanx of the fourth finger
Bullet-shaped|Bullet-shaped distal phalanx of the 4th finger
Osteolytic|Osteolytic defects of the distal phalanx of the 4th finger
Patchy|Patchy sclerosis of the distal phalanx of the 4th finger
Distal/middle|Distal/middle symphalangism of 4th finger
Symphalangism|Symphalangism of the distal and middle phalanges of the 4th finger
Triangular|Triangular shaped distal phalanx of the 4th finger
Patchy|Patchy sclerosis of the middle phalanx of the 4th finger
Symphalangism|Symphalangism of middle phalanx of 4th finger
Triangular|Triangular shaped middle phalanx of the 4th finger
Broad|Broad proximal phalanx of the 4th finger
Bullet-shaped|Bullet-shaped proximal phalanx of the 4th finger
Osteolytic|Osteolytic defects of the proximal phalanx of the 4th finger
Patchy|Patchy sclerosis of the proximal phalanx of the 4th finger
Symphalangism|Symphalangism affecting the proximal phalanx of the 4th finger
Triangular|Triangular shaped proximal phalanx of the 4th finger
Abnormality|Abnormality of the phalanges of the 3rd finger
Abnormality|Abnormality of 3rd finger phalanges
Abnormality|Abnormality of middle finger phalanges
Deviation|Deviation of the 3rd finger
Deviated|Deviated middle finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the 3rd finger
Joint|Joint contractures of the 3rd finger
Camptodactyly|Camptodactyly of middle finger
Abnormality|Abnormality of the epiphyses of the 3rd finger
Absent|Absent epiphysis of the middle phalanx of the 3rd finger
Bracket|Bracket epiphysis of the middle phalanx of the 3rd finger
Cone-shaped|Cone-shaped epiphysis of the middle phalanx of the 3rd finger
Enlarged|Enlarged epiphysis of the middle phalanx of the 3rd finger
Fragmentation|Fragmentation of the epiphysis of the middle phalanx of the 3rd finger
Irregular|Irregular epiphysis of the middle phalanx of the 3rd finger
Ivory|Ivory epiphysis of the middle phalanx of the 3rd finger
Pseudoepiphysis|Pseudoepiphysis of the middle phalanx of the 3rd finger
Pseudoepiphyses|Pseudoepiphyses of middle phalanx of middle-finger
Small|Small epiphysis of the middle phalanx of the 3rd finger
Stippling|Stippling of the epiphysis of the middle phalanx of the 3rd finger
Triangular|Triangular epiphysis of the middle phalanx of the 3rd finger
Delta-shaped|Delta-shaped epiphysis of the middle phalanx of the 3rd finger
Abnormality|Abnormality of the epiphysis of the distal phalanx of the 3rd finger
Abnormality|Abnormality of the epiphysis of the proximal phalanx of the 3rd finger
Abnormality|Abnormality of the epiphysis of the middle phalanx of the 3rd finger
Absent|Absent epiphysis of the distal phalanx of the 3rd finger
Bracket|Bracket epiphysis of the distal phalanx of the 3rd finger
Cone-shaped|Cone-shaped epiphysis of the distal phalanx of the 3rd finger
Enlarged|Enlarged epiphysis of the distal phalanx of the 3rd finger
Fragmentation|Fragmentation of the epiphysis of the distal phalanx of the 3rd finger
Irregular|Irregular epiphysis of the distal phalanx of the 3rd finger
Ivory|Ivory epiphysis of the distal phalanx of the 3rd finger
Pseudoepiphysis|Pseudoepiphysis of the distal phalanx of the 3rd finger
Small|Small epiphysis of the distal phalanx of the 3rd finger
Stippling|Stippling of the epiphysis of the distal phalanx of the 3rd finger
Triangular|Triangular epiphysis of the distal phalanx of the 3rd finger
Delta-shaped|Delta-shaped epiphysis of the distal phalanx of the 3rd finger
Absent|Absent epiphysis of the proximal phalanx of the 3rd finger
Bracket|Bracket epiphysis of the proximal phalanx of the 3rd finger
Cone-shaped|Cone-shaped epiphysis of the proximal phalanx of the 3rd finger
Enlarged|Enlarged epiphysis of the proximal phalanx of the 3rd finger
Large|Large epiphysis of proximal middle-finger phalanx
Fragmentation|Fragmentation of the epiphysis of the proximal phalanx of the 3rd finger
Irregular|Irregular epiphysis of the proximal phalanx of the 3rd finger
Ivory|Ivory epiphysis of the proximal phalanx of the 3rd finger
Pseudoepiphysis|Pseudoepiphysis of the proximal phalanx of the 3rd finger
Small|Small epiphysis of the proximal phalanx of the 3rd finger
Stippling|Stippling of the epiphysis of the proximal phalanx of the 3rd finger
Triangular|Triangular epiphysis of the proximal phalanx of the 3rd finger
Delta-shaped|Delta-shaped epiphysis of the proximal phalanx of the 3rd finger
Abnormality|Abnormality of the distal phalanx of the 3rd finger
Abnormality|Abnormality of terminal phalanx of middle-finger
Abnormality|Abnormality of the proximal phalanx of the 3rd finger
Abnormality|Abnormality of proximal middle-finger phalanx
Type|Type A Brachydactyly
Type|Type A1 Brachydactyly
Type|Type A2 Brachydactyly
Type|Type C Brachydactyly
Broad|Broad phalanges of the 5th finger
Bullet-shaped|Bullet-shaped phalanges of the 5th finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the phalanges of the 5th finger
Patchy|Patchy sclerosis of the phalanges of the 5th finger
Triangular|Triangular shaped phalanges of the 5th finger
Rhomboid|Rhomboid or triangular shaped 5th finger distal phalanx
Aplasia|Aplasia of the fingers
Absent|Absent fingers
Short|Short finger
Hypoplastic|Hypoplastic digits
Hypoplastic|Hypoplastic fingers
Hypoplastic/small|Hypoplastic/small fingers
Absent|Absent epiphyses of the 5th finger
Bracket|Bracket epiphyses of the 5th finger
Cone-shaped|Cone-shaped epiphyses of the 5th finger
Enlarged|Enlarged epiphyses of the 5th finger
Fragmentation|Fragmentation of the epiphyses of the 5th finger
Irregular|Irregular epiphyses of the 5th finger
Ivory|Ivory epiphyses of the 5th finger
Pseudoepiphyses|Pseudoepiphyses of the 5th finger
Small|Small epiphyses of the 5th finger
Stippling|Stippling of the epiphyses of the 5th finger
Triangular|Triangular epiphyses of the 5th finger
Delta-shaped|Delta-shaped epiphyses of the 5th finger
Absent|Absent epiphyses of the 4th finger
Bracket|Bracket epiphyses of the 4th finger
Cone-shaped|Cone-shaped epiphyses of the 4th finger
Enlarged|Enlarged epiphyses of the 4th finger
Fragmentation|Fragmentation of the epiphyses of the 4th finger
Irregular|Irregular epiphyses of the 4th finger
Ivory|Ivory epiphyses of the 4th finger
Pseudoepiphyses|Pseudoepiphyses of the 4th finger
Small|Small epiphyses of the 4th finger
Stippling|Stippling of the epiphyses of the 4th finger
Triangular|Triangular epiphyses of the 4th finger
Delta-shaped|Delta-shaped epiphyses of the 4th finger
Broad|Broad phalanges of the 4th finger
Bullet-shaped|Bullet-shaped phalanges of the 4th finger
Patchy|Patchy sclerosis of the phalanges of the 4th finger
Triangular|Triangular shaped phalanges of the 4th finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the phalanges of the 4th finger
Absent|Absent epiphyses of the 3rd finger
Bracket|Bracket epiphyses of the 3rd finger
Cone-shaped|Cone-shaped epiphyses of the 3rd finger
Enlarged|Enlarged epiphyses of the 3rd finger
Fragmentation|Fragmentation of the epiphyses of the 3rd finger
Irregular|Irregular epiphyses of the 3rd finger
Ivory|Ivory epiphyses of the 3rd finger
Pseudoepiphyses|Pseudoepiphyses of the 3rd finger
Pseudoepiphyses|Pseudoepiphyses of middle finger phalanges
Small|Small epiphyses of the 3rd finger
Stippling|Stippling of the epiphyses of the 3rd finger
Triangular|Triangular epiphyses of the 3rd finger
Delta-shaped|Delta-shaped epiphyses of the 3rd finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the distal phalanx of the 3rd finger
Broad|Broad distal phalanx of the 3rd finger
Bullet-shaped|Bullet-shaped distal phalanx of the 3rd finger
Osteolytic|Osteolytic defects of the distal phalanx of the 3rd finger
Lytic|Lytic defectof terminal phalanx of middle finger
Patchy|Patchy sclerosis of the distal phalanx of the 3rd finger
Distal/middle|Distal/middle symphalangism of 3rd finger
Symphalangism|Symphalangism of the distal and middle phalanges of the 3rd finger
Triangular|Triangular shaped distal phalanx of the 3rd finger
Curved|Curved distal phalanx of the 3rd finger
Aplasia|Aplasia of the distal phalanx of the 3rd finger
Broad|Broad middle phalanx of the 3rd finger
Wide/broad|Wide/broad middle phalanx of middle-finger
Bullet-shaped|Bullet-shaped middle phalanx of the 3rd finger
Curved|Curved middle phalanx of the 3rd finger
Osteolytic|Osteolytic defects of the middle phalanx of the 3rd finger
Patchy|Patchy sclerosis of the middle phalanx of the 3rd finger
Symphalangism|Symphalangism of middle phalanx of 3rd finger
Triangular|Triangular shaped middle phalanx of the 3rd finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the middle phalanx of the 3rd finger
Absent|Absent middle phalanx of 3rd finger
Absent|Absent middle phalanx of middle finger
Aplasia|Aplasia of the middle phalanx of the 3rd finger
Short|Short middle phalanx of the 3rd finger
Hypoplastic/small|Hypoplastic/small middle phalanx of the 3rd finger
Broad|Broad phalanges of the 3rd finger
Wide/broad|Wide/broad middle finger phalanges
Bullet-shaped|Bullet-shaped phalanges of the 3rd finger
Curved|Curved phalanges of the 3rd finger
Osteolytic|Osteolytic defects of the phalanges of the 3rd finger
Lytic|Lytic defects of middle finger phalanges
Patchy|Patchy sclerosis of the phalanges of the 3rd finger
Patchy|Patchy sclerosis of middle finger phalanges
Symphalangism|Symphalangism of the 3rd finger
Triangular|Triangular shaped phalanges of the 3rd finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the phalanges of the 3rd finger
Aplasia|Aplasia of the phalanges of the 3rd finger
Absent|Absent middle finger phalanges
Hypoplastic/small|Hypoplastic/small phalanges of the 3rd finger
Hypoplastic|Hypoplastic middle finger phalanges
Short|Short middle finger phalanges
Small|Small middle finger phalanges
Broad|Broad proximal phalanx of the 3rd finger
Bullet-shaped|Bullet-shaped proximal phalanx of the 3rd finger
Curved|Curved proximal phalanx of the 3rd finger
Osteolytic|Osteolytic defects of the proximal phalanx of the 3rd finger
Patchy|Patchy sclerosis of the proximal phalanx of the 3rd finger
Symphalangism|Symphalangism affecting the proximal phalanx of the 3rd finger
Triangular|Triangular shaped proximal phalanx of the 3rd finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the proximal phalanx of the 3rd finger
Aplasia|Aplasia of the proximal phalanx of the 3rd finger
Short|Short proximal phalanx of the 3rd finger
Hypoplastic/small|Hypoplastic/small proximal phalanx of the 3rd finger
Short|Short proximal middle-finger phalanx
Short|Short proximal phalanx of the third finger
Small|Small proximal middle-finger phalanx
Aplasia|Aplasia of the 3rd finger
Short|Short 3rd finger
Hypoplastic/small|Hypoplastic/small 3rd finger
Short|Short middle finger
Radial|Radial deviation of the 3rd finger
Ulnar|Ulnar deviation of the 3rd finger
Ulnar|Ulnar deviation of middle fingers
Ulnar|Ulnar deviation of the 2nd finger
Medially|Medially deviated index finger
Second|Second finger ulnar deviation
Ulnar|Ulnar angulation of the index finger
Ulnar|Ulnar deviation of index fingers
Ulnar|Ulnar deviation of finger
Medially|Medially deviated fingers
Radial|Radial deviation of finger
Radially|Radially deviated fingers
Radially|Radially deviated phalanges
Radial|Radial deviation of the 2nd finger
Radially|Radially deviated index finger
Second|Second finger clinodactyly
Deviation|Deviation of the 2nd finger
Deviated|Deviated index finger
Contracture|Contracture of the distal interphalangeal joint of the 3rd finger
Contracture|Contracture of the metacarpophalangeal joint of the 3rd finger
Contracture|Contracture of the proximal interphalangeal joint of the 3rd finger
Joint|Joint contracture of the hand
Contractures|Contractures involving the hands
Contractures|Contractures of the hands
Proximal/middle|Proximal/middle symphalangism of 4th finger
Symphalangism|Symphalangism of the proximal phalanx of the 4th finger with the 4th metatcarpal
Proximal/middle|Proximal/middle symphalangism of 3rd finger
Symphalangism|Symphalangism of the proximal phalanx of the 3rd finger with the 3rd metatcarpal
Deviation|Deviation of the hand or of fingers of the hand
Radial|Radial deviation of the hand or of fingers of the hand
Radial|Radial deviation of the hand
Radial|Radial deviation of hands
Ulnar|Ulnar deviation of the hand
Absent|Absent epiphyses of the 2nd finger
Bracket|Bracket epiphyses of the 2nd finger
Bracket-epiphyses|Bracket-epiphyses (index finger)
Cone-shaped|Cone-shaped epiphyses of the 2nd finger
Enlarged|Enlarged epiphyses of the 2nd finger
Fragmentation|Fragmentation of the epiphyses of the 2nd finger
Irregular|Irregular epiphyses of the 2nd finger
Ivory|Ivory epiphyses of the 2nd finger
Pseudoepiphyses|Pseudoepiphyses of the 2nd finger
Accessory|Accessory index finger phalanges
Hyperphalangy|Hyperphalangy of index finger
Small|Small epiphyses of the 2nd finger
